Location,Size_sqft,Num_Bedrooms,Num_Bathrooms,Has_Balcony,Floor_Number,Building_Age_Years,Parking_Available,Nearby_Schools,Distance_to_CityCenter_km,Security_Level,Price_Category
Suburbs,1106.0,1.0,1.0,No,14.0,32.0,No,Many,,Medium,High
,1763.0,3.0,1.0,,10.0,17.0,,Many,15.8,Medium,Medium
Suburbs,1625.0,,1.0,Yes,0.0,,No,Few,14.1,High,High
,310.0,4.0,2.0,No,2.0,31.0,No,Few,9.8,Medium,High
Countryside,,4.0,2.0,,,,Yes,Few,17.6,High,Medium
City Center,2168.0,2.0,1.0,No,18.0,47.0,Yes,Many,22.0,Low,High
,1071.0,3.0,3.0,No,13.0,41.0,Yes,Many,12.6,High,High
City Center,1894.0,1.0,3.0,No,7.0,26.0,Yes,Few,19.1,High,High
City Center,1907.0,1.0,,Yes,12.0,9.0,No,Many,21.1,Medium,Low
,1633.0,,2.0,Yes,19.0,45.0,Yes,Many,21.5,Low,Low
City Center,1184.0,2.0,1.0,Yes,2.0,41.0,Yes,Many,2.0,Low,Low
Countryside,1689.0,4.0,3.0,No,4.0,31.0,Yes,Few,25.9,Medium,High
Countryside,525.0,2.0,1.0,,8.0,41.0,Yes,Few,14.0,Low,Medium
City Center,1124.0,1.0,2.0,No,5.0,25.0,No,Few,8.2,Low,Low
City Center,1236.0,3.0,3.0,No,1.0,24.0,Yes,Few,7.6,Low,Medium
Countryside,2211.0,2.0,,No,12.0,10.0,No,Few,14.7,Medium,High
Countryside,,1.0,2.0,No,,22.0,Yes,Many,26.7,,Low
Suburbs,353.0,4.0,1.0,Yes,7.0,33.0,No,Many,11.7,High,High
Countryside,1026.0,2.0,1.0,Yes,0.0,39.0,No,Many,22.6,High,Medium
,,3.0,3.0,Yes,19.0,,Yes,Many,3.4,Low,Low
,1343.0,4.0,,Yes,11.0,28.0,No,Few,14.5,Medium,Low
Suburbs,2213.0,4.0,3.0,,10.0,30.0,Yes,,29.8,Medium,Low
,2076.0,1.0,2.0,No,6.0,6.0,No,Many,23.2,Medium,Low
Suburbs,1896.0,2.0,1.0,No,14.0,39.0,No,Few,,Low,Medium
City Center,2214.0,4.0,,No,10.0,32.0,No,Many,15.3,Low,Low
Countryside,1149.0,3.0,1.0,,15.0,20.0,Yes,Many,7.4,High,High
Suburbs,2409.0,2.0,2.0,No,2.0,1.0,No,Many,12.6,,Low
Countryside,302.0,3.0,3.0,No,19.0,17.0,Yes,Many,23.5,High,Medium
,459.0,4.0,1.0,,13.0,46.0,No,Few,23.3,,Low
Suburbs,1080.0,3.0,3.0,No,2.0,32.0,No,Many,7.2,Medium,Medium
City Center,1192.0,1.0,3.0,No,0.0,36.0,No,Few,27.7,Low,Medium
,2330.0,3.0,1.0,,14.0,,No,Many,18.0,Low,High
City Center,879.0,2.0,1.0,No,0.0,19.0,No,Many,,High,Low
Countryside,2233.0,3.0,3.0,Yes,16.0,,No,Many,15.3,High,Low
,1680.0,3.0,3.0,Yes,1.0,49.0,Yes,Many,18.3,High,Low
City Center,1590.0,1.0,3.0,No,19.0,17.0,Yes,Few,17.0,High,High
City Center,1940.0,3.0,3.0,Yes,5.0,,Yes,Many,14.8,Medium,High
Countryside,1251.0,3.0,1.0,Yes,7.0,23.0,No,Few,15.4,High,Medium
Countryside,1287.0,4.0,1.0,No,15.0,7.0,Yes,,5.7,High,Medium
City Center,1518.0,,,No,18.0,29.0,No,Many,24.5,Low,Medium
City Center,1220.0,2.0,2.0,No,,43.0,Yes,Many,16.5,Low,High
Suburbs,1655.0,4.0,2.0,No,2.0,9.0,Yes,Few,4.4,Low,High
City Center,469.0,4.0,1.0,No,2.0,22.0,No,Many,,Medium,High
Suburbs,820.0,4.0,3.0,Yes,4.0,48.0,No,,28.0,Medium,Medium
City Center,1786.0,4.0,3.0,No,11.0,,Yes,Many,28.4,Low,High
Suburbs,339.0,1.0,1.0,No,,1.0,Yes,Many,,Low,Medium
Countryside,,4.0,2.0,No,19.0,25.0,Yes,Many,4.5,High,Medium
City Center,1718.0,1.0,2.0,Yes,12.0,35.0,,Few,15.8,High,Low
City Center,,,2.0,No,,32.0,No,Few,3.8,Medium,Low
,1283.0,4.0,1.0,No,8.0,,Yes,Many,28.1,Medium,Low
City Center,,3.0,2.0,No,6.0,12.0,No,Many,5.9,High,Medium
Suburbs,337.0,1.0,1.0,Yes,3.0,39.0,No,Few,8.0,Low,Low
City Center,1574.0,3.0,1.0,No,18.0,24.0,Yes,Many,12.5,High,Low
Countryside,1499.0,3.0,3.0,No,18.0,3.0,No,Few,11.8,Medium,Low
Countryside,1925.0,,2.0,,5.0,,Yes,Many,23.9,Medium,High
City Center,1213.0,2.0,1.0,,12.0,18.0,No,Many,14.0,High,Medium
Countryside,753.0,4.0,2.0,No,10.0,17.0,No,,5.5,High,Low
City Center,336.0,2.0,2.0,No,12.0,36.0,Yes,,8.4,High,High
,2011.0,2.0,3.0,No,12.0,29.0,No,Few,15.5,Medium,High
Countryside,1095.0,4.0,2.0,Yes,19.0,18.0,No,Few,4.8,Low,High
City Center,1272.0,4.0,3.0,,14.0,22.0,Yes,Few,18.5,High,Low
Countryside,892.0,,1.0,,,15.0,No,Many,17.2,Medium,High
,1437.0,4.0,2.0,No,10.0,0.0,No,,21.6,Medium,Medium
,1624.0,2.0,1.0,Yes,18.0,11.0,Yes,Few,28.2,Medium,High
Suburbs,617.0,3.0,,Yes,7.0,23.0,Yes,Many,27.4,High,High
Countryside,2462.0,4.0,,No,19.0,33.0,No,Many,28.4,High,High
Suburbs,1646.0,3.0,2.0,Yes,7.0,7.0,No,Many,7.7,,High
,1891.0,,2.0,Yes,9.0,17.0,No,Many,4.4,Medium,Medium
Countryside,2189.0,3.0,2.0,,15.0,47.0,Yes,Many,9.4,High,Low
Suburbs,2387.0,3.0,2.0,No,18.0,4.0,No,Many,26.9,Medium,Medium
Suburbs,2296.0,2.0,2.0,,10.0,25.0,,Few,29.2,Medium,Medium
Countryside,2072.0,3.0,2.0,Yes,12.0,29.0,No,Many,25.9,Low,Low
Suburbs,1612.0,4.0,2.0,Yes,8.0,12.0,No,,,High,High
Countryside,1585.0,2.0,2.0,Yes,19.0,18.0,No,,28.4,,Low
Suburbs,515.0,1.0,2.0,No,18.0,28.0,No,Few,13.0,Medium,Low
Countryside,2439.0,4.0,1.0,No,15.0,2.0,Yes,Few,0.8,,Medium
,2004.0,1.0,,Yes,6.0,25.0,Yes,,13.6,Low,Low
Suburbs,662.0,3.0,2.0,,,39.0,No,,1.9,Low,High
,2016.0,4.0,3.0,Yes,,11.0,No,Few,16.5,Low,Medium
Suburbs,1493.0,4.0,,,14.0,1.0,Yes,Many,,Low,High
City Center,655.0,1.0,2.0,No,13.0,10.0,Yes,Many,,Low,Medium
City Center,490.0,4.0,1.0,Yes,10.0,43.0,,Few,18.6,,High
City Center,999.0,4.0,,No,9.0,27.0,No,Few,26.1,Medium,Low
Countryside,2354.0,4.0,3.0,,10.0,17.0,No,Few,20.0,,Low
Suburbs,2480.0,3.0,1.0,Yes,5.0,12.0,,Many,13.3,Medium,Low
Countryside,856.0,1.0,1.0,Yes,1.0,36.0,No,Many,24.7,Medium,High
City Center,1125.0,4.0,3.0,Yes,10.0,21.0,Yes,Many,27.2,High,Medium
Suburbs,1354.0,2.0,1.0,Yes,18.0,11.0,Yes,Many,4.0,Medium,Medium
Countryside,725.0,2.0,2.0,No,5.0,1.0,Yes,Few,16.2,Medium,Medium
Suburbs,1874.0,2.0,3.0,Yes,13.0,36.0,Yes,Many,8.9,Low,Low
Countryside,2429.0,2.0,3.0,Yes,19.0,,No,Few,1.9,Medium,High
Suburbs,888.0,3.0,2.0,Yes,,25.0,No,Many,20.2,Low,Medium
City Center,2312.0,,1.0,No,16.0,25.0,Yes,Many,26.0,Low,High
City Center,1847.0,1.0,3.0,No,9.0,23.0,,Few,5.3,Low,Medium
Suburbs,594.0,4.0,3.0,No,0.0,11.0,Yes,Many,24.5,High,Low
Countryside,2285.0,3.0,2.0,No,2.0,15.0,Yes,Many,25.7,Low,High
City Center,1547.0,2.0,2.0,Yes,7.0,22.0,Yes,Few,,Medium,Medium
,1848.0,3.0,,,7.0,39.0,No,,8.3,Low,Medium
City Center,1990.0,4.0,3.0,Yes,19.0,8.0,No,Few,27.2,,Medium
,1436.0,,,No,14.0,31.0,Yes,Few,10.0,Low,Medium
Suburbs,1556.0,3.0,1.0,Yes,6.0,14.0,Yes,Few,16.8,High,Low
Countryside,2364.0,1.0,2.0,Yes,10.0,36.0,Yes,Few,2.0,Medium,Medium
,659.0,3.0,3.0,No,,12.0,No,Many,,High,Medium
Countryside,999.0,,3.0,No,3.0,4.0,No,Many,21.8,Medium,Low
Suburbs,747.0,1.0,3.0,No,11.0,10.0,No,Many,13.6,High,Medium
Suburbs,974.0,2.0,2.0,Yes,5.0,9.0,,Few,8.1,Medium,High
Countryside,1307.0,1.0,2.0,Yes,13.0,12.0,,Many,6.1,High,High
Countryside,1649.0,2.0,,No,11.0,40.0,Yes,Many,20.3,Low,Medium
Suburbs,885.0,4.0,2.0,Yes,10.0,45.0,No,Many,0.5,High,Low
Countryside,1556.0,4.0,2.0,No,,49.0,No,Many,24.3,High,Low
City Center,1547.0,2.0,3.0,No,4.0,14.0,No,Few,2.8,Low,Low
Suburbs,1293.0,2.0,1.0,Yes,13.0,41.0,Yes,Few,,Low,Medium
Countryside,1735.0,3.0,3.0,No,15.0,6.0,Yes,Many,11.9,Medium,Medium
Suburbs,871.0,3.0,1.0,No,12.0,39.0,No,Few,,Medium,High
City Center,1545.0,3.0,2.0,,19.0,,Yes,Many,11.0,Medium,Low
Suburbs,2384.0,4.0,1.0,Yes,3.0,31.0,Yes,Many,10.0,High,Medium
Suburbs,1288.0,,3.0,No,10.0,34.0,Yes,Many,,Medium,Medium
Suburbs,,1.0,3.0,No,16.0,14.0,Yes,Few,19.4,High,Medium
Suburbs,1519.0,1.0,1.0,No,6.0,47.0,Yes,,1.2,High,Low
City Center,2187.0,3.0,2.0,,13.0,35.0,Yes,Few,13.2,Medium,Low
Suburbs,783.0,1.0,2.0,No,10.0,,Yes,Few,26.3,Medium,High
Suburbs,1565.0,4.0,3.0,No,8.0,,No,Many,9.4,High,Low
Countryside,1030.0,1.0,1.0,,12.0,0.0,Yes,,3.3,Low,Medium
Suburbs,1340.0,,2.0,Yes,17.0,3.0,Yes,Few,22.9,Low,High
,1217.0,2.0,,Yes,10.0,10.0,No,Many,18.4,High,Low
,1185.0,2.0,3.0,No,14.0,43.0,No,Few,,,Low
City Center,321.0,2.0,2.0,Yes,18.0,25.0,No,Few,2.1,High,Low
City Center,773.0,2.0,1.0,Yes,0.0,36.0,No,Many,4.6,High,Low
City Center,1003.0,1.0,3.0,No,3.0,,Yes,Many,18.9,Medium,Medium
Countryside,986.0,3.0,3.0,,13.0,28.0,No,Few,6.6,,Low
Suburbs,584.0,1.0,1.0,No,13.0,20.0,No,Many,15.4,High,Medium
City Center,1015.0,4.0,3.0,No,,47.0,Yes,Many,16.6,Low,Medium
,1062.0,1.0,2.0,No,,44.0,,Few,8.9,Low,Medium
Countryside,1550.0,1.0,2.0,No,2.0,44.0,Yes,Few,28.5,Medium,High
Countryside,1247.0,4.0,1.0,No,15.0,48.0,No,Many,25.4,High,Medium
,1330.0,2.0,2.0,Yes,13.0,26.0,Yes,Few,21.8,High,Low
City Center,328.0,2.0,,No,19.0,38.0,No,Many,2.8,Low,High
Suburbs,1206.0,2.0,,Yes,,39.0,Yes,,3.6,Low,Low
Suburbs,2426.0,3.0,,No,14.0,12.0,Yes,Few,15.0,Medium,Medium
Suburbs,869.0,,1.0,No,13.0,22.0,No,Few,5.2,Low,Low
Countryside,2306.0,4.0,2.0,No,18.0,15.0,Yes,Many,29.4,Medium,High
City Center,1753.0,1.0,,Yes,5.0,,,Many,5.2,High,High
,1037.0,3.0,3.0,No,9.0,3.0,Yes,Many,14.9,Medium,Low
Countryside,815.0,2.0,,No,14.0,39.0,Yes,Many,11.2,Low,Low
Suburbs,2300.0,3.0,2.0,No,19.0,15.0,Yes,Few,19.4,High,Low
Countryside,338.0,4.0,2.0,No,,30.0,No,Many,4.3,Medium,High
Suburbs,1186.0,,3.0,,9.0,41.0,No,Few,13.2,High,Medium
,1398.0,1.0,3.0,,6.0,24.0,Yes,Few,8.6,,Low
Suburbs,,1.0,2.0,Yes,,43.0,No,Many,26.7,Low,Medium
,2010.0,4.0,1.0,No,17.0,11.0,,Few,1.7,Low,High
Suburbs,1273.0,2.0,3.0,Yes,,,No,Few,27.5,High,Low
Countryside,1862.0,2.0,1.0,,8.0,,Yes,Many,25.1,,Low
Countryside,1288.0,3.0,1.0,No,9.0,,Yes,Few,9.3,High,High
City Center,320.0,4.0,3.0,No,9.0,32.0,Yes,,,Medium,Low
City Center,1168.0,,1.0,Yes,,27.0,No,Many,1.4,Low,Medium
City Center,383.0,2.0,1.0,No,15.0,8.0,,Many,,High,High
Suburbs,1982.0,2.0,2.0,No,17.0,,Yes,Many,16.0,High,High
Suburbs,2276.0,4.0,1.0,No,5.0,4.0,Yes,Many,9.4,High,Low
City Center,1710.0,1.0,2.0,Yes,19.0,27.0,No,,11.2,Medium,High
Countryside,1830.0,4.0,3.0,No,0.0,34.0,No,Many,2.5,High,Low
Suburbs,,4.0,3.0,,0.0,4.0,Yes,Many,29.7,High,Low
,1233.0,2.0,2.0,No,11.0,33.0,No,Few,1.7,Medium,High
Suburbs,,2.0,3.0,Yes,1.0,45.0,No,Few,19.8,Medium,Low
,2155.0,1.0,1.0,No,3.0,33.0,No,,,,Medium
City Center,1092.0,,1.0,Yes,16.0,12.0,No,Few,28.5,High,Medium
City Center,1091.0,3.0,1.0,No,3.0,38.0,No,Few,7.8,Medium,Low
City Center,2109.0,4.0,3.0,Yes,10.0,41.0,No,Many,16.2,Low,Medium
City Center,1594.0,2.0,1.0,No,3.0,,No,Few,14.7,,Low
Countryside,1907.0,1.0,3.0,No,0.0,47.0,Yes,Many,21.2,Low,Medium
,1383.0,3.0,1.0,Yes,6.0,13.0,Yes,Few,2.5,High,High
City Center,,3.0,2.0,Yes,17.0,10.0,No,,6.2,High,Low
Suburbs,1980.0,2.0,,Yes,8.0,41.0,No,Few,6.8,,Low
City Center,819.0,,3.0,No,2.0,,,Few,22.3,Medium,Low
Countryside,890.0,3.0,1.0,No,7.0,,Yes,Few,6.1,,Low
Countryside,1350.0,1.0,3.0,,18.0,32.0,Yes,Many,17.4,Low,Low
Suburbs,2009.0,3.0,3.0,No,3.0,6.0,No,Few,6.8,Medium,Low
Countryside,2335.0,4.0,2.0,Yes,17.0,40.0,Yes,Few,25.9,Low,High
City Center,648.0,,2.0,No,19.0,7.0,No,Many,28.3,Medium,High
Suburbs,,2.0,1.0,No,,36.0,No,Many,15.8,Medium,Medium
City Center,2263.0,1.0,,No,,9.0,No,Few,10.9,Medium,Low
City Center,992.0,1.0,1.0,No,,,No,Few,7.4,Medium,Medium
Suburbs,,4.0,1.0,No,15.0,14.0,No,Few,2.0,Low,Medium
City Center,677.0,3.0,1.0,,2.0,37.0,,Few,8.4,Low,High
Countryside,826.0,2.0,3.0,No,14.0,,No,,19.8,Low,Medium
City Center,1559.0,3.0,2.0,Yes,3.0,4.0,Yes,Few,16.2,Low,High
Suburbs,2175.0,3.0,1.0,,,,No,Few,28.3,,Medium
Suburbs,2063.0,3.0,2.0,No,16.0,18.0,Yes,Many,12.2,Medium,Low
Suburbs,820.0,1.0,1.0,,6.0,9.0,No,Few,21.0,High,Medium
City Center,2001.0,4.0,2.0,No,15.0,11.0,No,Few,14.9,High,High
,1316.0,1.0,2.0,Yes,13.0,3.0,Yes,Few,15.6,Low,High
Suburbs,,4.0,1.0,,15.0,30.0,Yes,Many,8.4,Low,High
City Center,416.0,2.0,,Yes,,17.0,No,Many,13.9,High,Medium
Countryside,1667.0,2.0,2.0,Yes,,15.0,,Few,14.4,Medium,Medium
City Center,883.0,3.0,3.0,Yes,3.0,39.0,No,Few,21.3,Low,High
,694.0,4.0,3.0,Yes,10.0,35.0,,Many,28.2,Medium,Low
Suburbs,1387.0,4.0,1.0,No,1.0,24.0,Yes,Few,10.2,High,Low
City Center,371.0,4.0,1.0,Yes,11.0,22.0,Yes,Few,1.7,High,Medium
Countryside,573.0,3.0,1.0,Yes,,11.0,Yes,Many,15.1,Low,Medium
Suburbs,2313.0,3.0,,No,3.0,33.0,Yes,Many,16.6,Medium,High
Suburbs,1643.0,2.0,1.0,,17.0,35.0,No,Many,5.5,Low,Medium
Suburbs,637.0,1.0,1.0,No,6.0,36.0,Yes,Few,,High,Medium
City Center,,4.0,2.0,No,0.0,2.0,Yes,Few,29.6,Medium,High
Suburbs,906.0,4.0,2.0,Yes,12.0,8.0,Yes,Few,28.4,Low,High
,465.0,1.0,1.0,,5.0,,Yes,Few,6.3,Low,Medium
Suburbs,1867.0,4.0,1.0,Yes,5.0,42.0,Yes,Many,26.3,Low,Low
Suburbs,2358.0,3.0,1.0,Yes,,,No,Few,21.3,High,Medium
Countryside,1624.0,3.0,1.0,,7.0,33.0,No,,13.9,Low,Low
Suburbs,1028.0,4.0,3.0,No,,40.0,Yes,Many,16.4,Medium,Low
City Center,2343.0,3.0,3.0,Yes,4.0,13.0,Yes,Many,25.6,,Low
City Center,401.0,3.0,1.0,No,17.0,3.0,No,Few,14.7,High,High
City Center,1715.0,4.0,3.0,No,4.0,28.0,,Many,11.5,,High
,1078.0,2.0,2.0,,9.0,40.0,No,Many,15.1,High,High
Suburbs,513.0,1.0,3.0,Yes,0.0,44.0,,Few,17.6,High,Medium
,1411.0,3.0,3.0,,9.0,49.0,,,6.1,Medium,High
Countryside,,2.0,1.0,Yes,4.0,14.0,No,,27.1,Medium,High
Suburbs,1995.0,3.0,3.0,Yes,11.0,27.0,Yes,Few,20.4,Low,Medium
Countryside,891.0,3.0,3.0,Yes,6.0,41.0,Yes,Many,19.2,High,Medium
,1633.0,1.0,3.0,Yes,8.0,,No,Many,3.4,High,Low
City Center,1409.0,3.0,3.0,Yes,11.0,11.0,No,Few,18.3,Medium,Medium
City Center,2439.0,1.0,2.0,Yes,0.0,4.0,Yes,Few,4.1,Medium,Medium
Countryside,1013.0,,1.0,Yes,10.0,33.0,No,Many,2.8,Low,High
Countryside,1235.0,1.0,1.0,No,14.0,41.0,Yes,,16.1,High,Low
,2251.0,2.0,2.0,Yes,1.0,0.0,No,Few,12.4,Medium,Low
Countryside,541.0,4.0,3.0,No,19.0,38.0,No,,17.9,Low,Medium
City Center,2343.0,2.0,2.0,,6.0,,,Few,3.1,High,High
City Center,301.0,4.0,3.0,No,11.0,25.0,,Many,13.2,High,High
Suburbs,2068.0,4.0,2.0,Yes,17.0,,Yes,Few,5.7,Medium,High
Countryside,2249.0,1.0,1.0,Yes,2.0,47.0,,Many,29.6,Low,High
City Center,2463.0,3.0,1.0,No,6.0,26.0,,Few,17.1,Medium,Medium
City Center,1217.0,,1.0,Yes,10.0,23.0,Yes,Few,20.8,Low,High
Countryside,389.0,3.0,3.0,,,34.0,No,,10.1,High,Low
Suburbs,2009.0,4.0,3.0,Yes,11.0,45.0,No,,3.3,Low,Low
Suburbs,2469.0,1.0,2.0,Yes,5.0,41.0,Yes,Many,29.3,Low,Medium
City Center,442.0,3.0,2.0,No,4.0,38.0,,Few,8.9,,High
Countryside,,2.0,1.0,No,0.0,25.0,Yes,Few,13.0,Low,High
Suburbs,1186.0,3.0,3.0,,11.0,48.0,Yes,Few,19.7,Low,High
,727.0,1.0,2.0,Yes,10.0,37.0,No,Few,1.2,Medium,High
,1628.0,2.0,3.0,No,,22.0,No,Few,24.4,,Medium
City Center,2195.0,3.0,3.0,Yes,17.0,21.0,Yes,Many,16.3,Low,High
Suburbs,2294.0,3.0,1.0,Yes,3.0,3.0,Yes,Many,8.7,High,Medium
City Center,616.0,3.0,1.0,Yes,16.0,48.0,Yes,Few,,Low,High
Suburbs,2286.0,3.0,3.0,No,1.0,8.0,No,Few,5.3,,High
,934.0,3.0,3.0,No,1.0,3.0,Yes,Many,26.9,Medium,Low
Suburbs,2225.0,2.0,,No,11.0,6.0,Yes,,20.7,Medium,Medium
Suburbs,,4.0,3.0,Yes,,,No,Few,7.9,Low,Low
Suburbs,1739.0,,1.0,Yes,9.0,1.0,No,,2.4,Medium,Medium
Countryside,852.0,2.0,2.0,No,15.0,48.0,Yes,Many,20.9,Low,High
City Center,1015.0,2.0,1.0,Yes,13.0,23.0,Yes,Few,17.4,Medium,High
Countryside,1587.0,4.0,2.0,Yes,6.0,39.0,No,Many,12.4,Low,Medium
Suburbs,2013.0,1.0,,No,18.0,30.0,,Few,11.2,Low,Low
City Center,2183.0,4.0,2.0,No,16.0,46.0,Yes,Many,6.9,High,Medium
Suburbs,1407.0,2.0,1.0,,8.0,30.0,No,Many,20.3,High,Medium
City Center,1641.0,3.0,1.0,Yes,12.0,46.0,No,,,High,High
Countryside,410.0,3.0,3.0,Yes,4.0,39.0,No,Many,5.7,High,Low
City Center,550.0,2.0,,Yes,,47.0,,Few,18.1,Low,Medium
,2354.0,,3.0,Yes,9.0,42.0,No,Few,13.0,Medium,Low
City Center,758.0,,1.0,Yes,9.0,33.0,No,Few,13.7,Low,Low
,1407.0,3.0,1.0,No,6.0,23.0,,Few,8.0,High,Medium
,507.0,4.0,3.0,Yes,14.0,48.0,,Many,24.8,High,Low
Suburbs,1199.0,1.0,2.0,Yes,6.0,25.0,No,Few,14.8,Medium,High
City Center,321.0,1.0,1.0,Yes,14.0,15.0,No,Few,16.5,High,High
City Center,709.0,4.0,,No,2.0,46.0,Yes,Few,9.5,,High
Countryside,,,1.0,No,18.0,12.0,Yes,Few,5.9,Low,High
City Center,814.0,2.0,1.0,No,9.0,14.0,No,Many,,,Low
Countryside,1108.0,2.0,1.0,Yes,14.0,26.0,No,Few,21.6,Low,High
Suburbs,1173.0,2.0,1.0,No,2.0,3.0,Yes,Many,6.3,Low,Medium
City Center,313.0,,2.0,No,5.0,15.0,No,Many,20.9,Medium,High
Countryside,1270.0,2.0,2.0,No,11.0,29.0,Yes,Many,12.0,Low,Medium
Countryside,2434.0,4.0,1.0,Yes,14.0,43.0,No,Few,12.8,High,Medium
Suburbs,1860.0,1.0,1.0,No,5.0,29.0,Yes,Few,14.3,High,High
City Center,1624.0,3.0,,,12.0,35.0,Yes,Few,11.3,High,High
City Center,1566.0,2.0,3.0,Yes,18.0,2.0,No,Few,3.5,High,Low
Countryside,2469.0,3.0,3.0,No,2.0,21.0,No,,9.6,Medium,Medium
City Center,1049.0,3.0,2.0,Yes,7.0,48.0,Yes,Many,20.1,High,High
Countryside,,2.0,1.0,No,7.0,21.0,No,Few,20.1,Medium,Low
City Center,2227.0,3.0,1.0,Yes,19.0,49.0,No,Few,8.9,High,High
Countryside,994.0,1.0,3.0,No,14.0,49.0,No,Few,14.1,Medium,High
City Center,606.0,4.0,,No,,48.0,Yes,Few,6.2,Medium,High
,2289.0,4.0,2.0,No,18.0,,No,Few,6.7,Medium,Medium
City Center,961.0,1.0,3.0,Yes,2.0,20.0,No,Few,1.2,High,High
City Center,848.0,3.0,2.0,No,12.0,3.0,Yes,Few,27.0,Medium,Low
,611.0,2.0,,Yes,7.0,30.0,No,Many,6.7,,High
City Center,1382.0,3.0,3.0,No,15.0,43.0,,,7.2,Low,High
Suburbs,2037.0,1.0,3.0,Yes,12.0,30.0,Yes,Many,8.7,,Low
City Center,1054.0,3.0,1.0,Yes,2.0,22.0,Yes,Many,4.3,Low,Low
Countryside,,4.0,1.0,No,15.0,19.0,No,,19.4,Low,Medium
Countryside,744.0,,1.0,No,8.0,14.0,No,Few,2.7,,Medium
,2440.0,1.0,,No,13.0,22.0,Yes,Few,4.5,High,Medium
City Center,2282.0,4.0,2.0,No,12.0,27.0,Yes,,19.5,High,Medium
City Center,1530.0,3.0,2.0,No,6.0,15.0,No,Few,10.5,Low,Low
Countryside,652.0,3.0,2.0,Yes,14.0,36.0,No,Many,21.4,High,High
City Center,1202.0,4.0,2.0,No,6.0,20.0,No,Few,16.9,Medium,High
Countryside,1655.0,2.0,1.0,No,5.0,14.0,Yes,,8.1,Low,High
Suburbs,2048.0,4.0,1.0,Yes,1.0,16.0,No,,19.7,High,Medium
Countryside,458.0,2.0,3.0,No,8.0,49.0,Yes,Many,,High,Low
Countryside,2277.0,1.0,3.0,No,16.0,36.0,Yes,,16.3,Low,Low
Suburbs,1256.0,,2.0,Yes,4.0,12.0,Yes,Many,13.4,High,Low
Countryside,2371.0,4.0,1.0,No,11.0,18.0,No,Few,8.4,Low,High
City Center,703.0,4.0,2.0,No,0.0,29.0,No,,18.3,High,Medium
,815.0,1.0,3.0,No,,,No,Few,,Medium,Low
Countryside,1687.0,2.0,3.0,Yes,10.0,17.0,Yes,Few,30.0,Low,Medium
City Center,1255.0,1.0,,No,15.0,13.0,No,Many,18.4,Medium,Low
